LOST (Timeout),,
1,0.054,1000
2,0.057,1000
LOST (Timeout),,
LOST (Timeout),,
5,0.038,1000
6,0.038,1000
7,0.041,1000
8,0.041,1000
9,0.035,1000
10,0.036,1000
11,0.037,1000
12,0.043,1000
13,0.039,1000
LOST (Timeout),,
15,0.041,1000
16,0.039,1000
17,0.040,1000
18,0.041,1000
19,0.039,1000
20,0.039,1000
21,0.028,1000
22,0.039,1000
LOST (Timeout),,
LOST (Timeout),,
LOST (Timeout),,
26,0.042,1000
LOST (Timeout),,
28,0.040,1000
29,0.038,1000
30,0.045,1000
31,0.051,1000
32,0.042,1000
33,0.045,1000
34,0.040,1000
35,0.038,1000
LOST (Timeout),,
37,0.042,1000
38,0.043,1000
LOST (Timeout),,
LOST (Timeout),,
41,0.028,1000
42,0.057,1000
43,0.043,1000
44,0.042,1000
LOST (Timeout),,
46,0.044,1000
47,0.042,1000
48,0.041,1000
LOST (Timeout),,
50,0.038,1000
51,0.039,1000
52,0.024,1000
53,0.039,1000
54,0.044,1000
55,0.039,1000
56,0.044,1000
57,0.040,1000
LOST (Timeout),,
59,0.037,1000
LOST (Timeout),,
61,0.036,1000
62,0.040,1000
63,0.044,1000
64,0.042,1000
65,0.020,1000
66,0.030,1000
67,0.039,1000
68,0.038,1000
69,0.038,1000
70,0.042,1000
71,0.043,1000
LOST (Timeout),,
73,0.036,1000
74,0.027,1000
75,0.038,1000
76,0.059,1000
77,0.043,1000
78,0.047,1000
79,0.036,1000
80,0.038,1000
81,0.041,1000
82,0.042,1000
83,0.039,1000
84,0.036,1000
85,0.034,1000
86,0.039,1000
87,0.041,1000
LOST (Timeout),,
LOST (Timeout),,
LOST (Timeout),,
LOST (Timeout),,
92,0.040,1000
LOST (Timeout),,
LOST (Timeout),,
95,0.037,1000
96,0.043,1000
97,0.031,1000
98,0.035,1000
LOST (Timeout),,
100,0.039,1000
101,0.044,1000
LOST (Timeout),,
103,0.043,1000
104,0.036,1000
105,0.039,1000
LOST (Timeout),,
LOST (Timeout),,
108,0.039,1000
109,0.033,1000
110,0.029,1000
111,0.042,1000
112,0.037,1000
LOST (Timeout),,
114,0.047,1000
115,0.054,1000
116,0.038,1000
117,0.042,1000
118,0.038,1000
119,0.036,1000
120,0.040,1000
121,0.036,1000
122,0.044,1000
LOST (Timeout),,
124,0.037,1000
125,0.037,1000
126,0.037,1000
127,0.041,1000
128,0.036,1000
129,0.019,1000
130,0.036,1000
131,0.091,1000
LOST (Timeout),,
133,0.040,1000
134,0.037,1000
135,0.036,1000
136,0.048,1000
137,0.042,1000
138,0.033,1000
139,0.035,1000
140,0.019,1000
141,0.036,1000
142,0.027,1000
143,0.025,1000
LOST (Timeout),,
145,0.036,1000
146,0.039,1000
LOST (Timeout),,
148,0.038,1000
149,0.036,1000
150,0.036,1000
LOST (Timeout),,
152,0.043,1000
153,0.044,1000
154,0.096,1000
155,0.037,1000
156,0.036,1000
157,0.075,1000
LOST (Timeout),,
159,0.035,1000
160,0.047,1000
LOST (Timeout),,
162,0.805,1000
163,0.021,1000
164,0.041,1000
165,0.038,1000
LOST (Timeout),,
LOST (Timeout),,
168,0.050,1000
169,0.032,1000
170,0.024,1000
171,0.032,1000
172,0.041,1000
173,0.049,1000
174,0.035,1000
175,0.031,1000
LOST (Timeout),,
177,0.043,1000
178,0.047,1000
LOST (Timeout),,
180,0.034,1000
LOST (Timeout),,
182,0.043,1000
183,0.036,1000
184,0.097,1000
185,0.037,1000
186,0.045,1000
187,0.045,1000
188,0.039,1000
LOST (Timeout),,
190,0.025,1000
191,0.036,1000
192,0.041,1000
LOST (Timeout),,
194,0.045,1000
195,0.038,1000
LOST (Timeout),,
197,0.035,1000
198,0.041,1000
199,0.036,1000
200,0.035,1000
201,0.037,1000
LOST (Timeout),,
203,0.025,1000
LOST (Timeout),,
205,0.020,1000
206,0.036,1000
LOST (Timeout),,
208,0.038,1000
209,0.035,1000
210,0.037,1000
LOST (Timeout),,
212,0.038,1000
LOST (Timeout),,
214,0.036,1000
LOST (Timeout),,
216,0.036,1000
LOST (Timeout),,
218,0.026,1000
219,0.037,1000
LOST (Timeout),,
221,0.039,1000
222,0.042,1000
223,0.039,1000
224,0.036,1000
225,0.330,1000
226,0.025,1000
227,0.040,1000
228,0.038,1000
LOST (Timeout),,
230,0.042,1000
231,0.040,1000
232,0.043,1000
233,0.040,1000
LOST (Timeout),,
235,0.042,1000
236,0.026,1000
237,0.053,1000
238,0.038,1000
LOST (Timeout),,
LOST (Timeout),,
241,0.040,1000
242,0.039,1000
243,0.041,1000
244,0.046,1000
245,0.043,1000
LOST (Timeout),,
247,0.045,1000
248,0.038,1000
249,0.037,1000
250,0.038,1000
251,0.043,1000
252,0.028,1000
LOST (Timeout),,
254,0.037,1000
255,0.037,1000
256,0.035,1000
257,0.045,1000
258,0.037,1000
LOST (Timeout),,
LOST (Timeout),,
261,0.054,1000
262,0.043,1000
263,0.041,1000
