sequence_number,rtt_ms,bytes_received,status
205,0.226,1400,SUCCESS
206,0.180,28,SUCCESS
207,0.303,1400,SUCCESS
208,0.207,28,SUCCESS
209,0.335,1400,SUCCESS
210,0.318,28,SUCCESS
211,0.412,1400,SUCCESS
212,0.286,28,SUCCESS
213,0.251,1400,SUCCESS
214,0.266,28,SUCCESS
215,0.247,1400,SUCCESS
216,0.168,28,SUCCESS
217,0.212,1400,SUCCESS
218,0.170,28,SUCCESS
219,0.245,1400,SUCCESS
220,0.167,28,SUCCESS
221,0.258,1400,SUCCESS
222,0.180,28,SUCCESS
223,0.205,1400,SUCCESS
224,0.150,28,SUCCESS
225,0.217,1400,SUCCESS
226,0.151,28,SUCCESS
227,0.205,1400,SUCCESS
228,0.171,28,SUCCESS
229,0.213,1400,SUCCESS
230,0.177,28,SUCCESS
231,0.270,1400,SUCCESS
232,0.201,28,SUCCESS
233,0.229,1400,SUCCESS
234,0.173,28,SUCCESS
235,0.228,1400,SUCCESS
236,0.175,28,SUCCESS
237,0.207,1400,SUCCESS
238,0.191,28,SUCCESS
239,0.314,1400,SUCCESS
240,0.172,28,SUCCESS
241,0.221,1400,SUCCESS
242,0.172,28,SUCCESS
243,0.221,1400,SUCCESS
244,0.166,28,SUCCESS
245,0.211,1400,SUCCESS
246,0.165,28,SUCCESS
247,0.258,1400,SUCCESS
248,0.194,28,SUCCESS
249,0.211,1400,SUCCESS
250,0.232,28,SUCCESS
251,0.276,1400,SUCCESS
252,0.233,28,SUCCESS
253,0.239,1400,SUCCESS
254,0.184,28,SUCCESS
255,0.240,1400,SUCCESS
256,0.151,28,SUCCESS
257,0.219,1400,SUCCESS
258,0.164,28,SUCCESS
259,0.216,1400,SUCCESS
260,0.170,28,SUCCESS
261,0.213,1400,SUCCESS
262,0.243,28,SUCCESS
263,0.274,1400,SUCCESS
264,0.230,28,SUCCESS
265,0.225,1400,SUCCESS
266,0.189,28,SUCCESS
267,0.208,1400,SUCCESS
268,0.163,28,SUCCESS
269,0.202,1400,SUCCESS
270,0.155,28,SUCCESS
271,0.203,1400,SUCCESS
272,0.149,28,SUCCESS
273,0.211,1400,SUCCESS
274,0.177,28,SUCCESS
275,0.243,1400,SUCCESS
276,0.181,28,SUCCESS
277,0.224,1400,SUCCESS
278,0.278,28,SUCCESS
279,0.318,1400,SUCCESS
280,0.259,28,SUCCESS
281,0.245,1400,SUCCESS
282,0.182,28,SUCCESS
283,0.225,1400,SUCCESS
284,0.172,28,SUCCESS
285,0.223,1400,SUCCESS
286,0.183,28,SUCCESS
287,0.231,1400,SUCCESS
288,0.165,28,SUCCESS
289,0.209,1400,SUCCESS
290,0.160,28,SUCCESS
291,0.219,1400,SUCCESS
292,0.149,28,SUCCESS
293,0.213,1400,SUCCESS
294,0.145,28,SUCCESS
295,0.203,1400,SUCCESS
296,0.145,28,SUCCESS
297,0.204,1400,SUCCESS
298,0.200,28,SUCCESS
299,0.221,1400,SUCCESS
300,0.179,28,SUCCESS
301,0.253,1400,SUCCESS
302,0.210,28,SUCCESS
303,0.234,1400,SUCCESS
304,0.164,28,SUCCESS
305,0.214,1400,SUCCESS
306,0.164,28,SUCCESS
307,0.204,1400,SUCCESS
308,0.153,28,SUCCESS
309,0.203,1400,SUCCESS
310,0.160,28,SUCCESS
311,0.212,1400,SUCCESS
312,0.156,28,SUCCESS
313,0.204,1400,SUCCESS
314,0.146,28,SUCCESS
315,0.203,1400,SUCCESS
316,0.174,28,SUCCESS
317,0.205,1400,SUCCESS
318,0.150,28,SUCCESS
319,0.204,1400,SUCCESS
320,0.146,28,SUCCESS
321,0.205,1400,SUCCESS
322,0.152,28,SUCCESS
323,0.204,1400,SUCCESS
324,0.153,28,SUCCESS
325,0.207,1400,SUCCESS
326,0.160,28,SUCCESS
327,0.242,1400,SUCCESS
328,0.186,28,SUCCESS
329,0.221,1400,SUCCESS
330,0.163,28,SUCCESS
331,0.218,1400,SUCCESS
332,0.163,28,SUCCESS
333,0.222,1400,SUCCESS
334,0.160,28,SUCCESS
335,0.213,1400,SUCCESS
336,0.152,28,SUCCESS
337,0.203,1400,SUCCESS
338,0.146,28,SUCCESS
339,0.205,1400,SUCCESS
340,0.152,28,SUCCESS
341,0.206,1400,SUCCESS
342,0.145,28,SUCCESS
343,0.210,1400,SUCCESS
344,0.166,28,SUCCESS
345,0.213,1400,SUCCESS
346,0.173,28,SUCCESS
347,0.214,1400,SUCCESS
348,0.153,28,SUCCESS
349,0.204,1400,SUCCESS
350,0.145,28,SUCCESS
351,0.207,1400,SUCCESS
352,0.158,28,SUCCESS
353,0.215,1400,SUCCESS
354,0.194,28,SUCCESS
355,0.219,1400,SUCCESS
356,0.158,28,SUCCESS
