sequence_number,rtt_ms,bytes_received,status
223,63.160,1328,SUCCESS
224,,0,LOST
225,64.408,1328,SUCCESS
226,62.229,29,SUCCESS
227,84.958,1328,SUCCESS
228,61.712,29,SUCCESS
229,63.686,1328,SUCCESS
230,63.670,29,SUCCESS
231,65.499,1328,SUCCESS
232,63.787,29,SUCCESS
233,66.187,1328,SUCCESS
234,60.311,29,SUCCESS
235,64.337,1328,SUCCESS
236,61.571,29,SUCCESS
237,,0,LOST
238,,0,LOST
239,65.711,1328,SUCCESS
240,63.936,29,SUCCESS
241,,0,LOST
242,62.664,29,SUCCESS
243,,0,LOST
244,65.324,29,SUCCESS
245,64.853,1328,SUCCESS
246,,0,LOST
247,62.608,1328,SUCCESS
248,61.458,29,SUCCESS
249,,0,LOST
250,61.019,29,SUCCESS
251,63.273,1328,SUCCESS
252,60.140,29,SUCCESS
253,65.829,1328,SUCCESS
254,63.132,29,SUCCESS
255,,0,LOST
256,,0,LOST
257,97.047,1328,SUCCESS
258,,0,LOST
259,,0,LOST
260,64.008,29,SUCCESS
261,63.869,1328,SUCCESS
262,,0,LOST
263,,0,LOST
264,61.368,29,SUCCESS
265,95.193,1328,SUCCESS
266,,0,LOST
267,,0,LOST
268,63.580,29,SUCCESS
269,,0,LOST
270,65.809,29,SUCCESS
271,65.918,1328,SUCCESS
272,61.589,29,SUCCESS
273,62.798,1328,SUCCESS
274,,0,LOST
275,63.123,1328,SUCCESS
276,64.623,29,SUCCESS
277,,0,LOST
278,61.253,29,SUCCESS
279,64.052,1328,SUCCESS
280,60.779,29,SUCCESS
281,,0,LOST
282,81.937,29,SUCCESS
283,,0,LOST
284,61.001,29,SUCCESS
285,63.073,1328,SUCCESS
286,,0,LOST
287,63.929,1328,SUCCESS
288,,0,LOST
289,64.833,1328,SUCCESS
290,,0,LOST
291,66.429,1328,SUCCESS
292,61.608,29,SUCCESS
293,74.373,1328,SUCCESS
294,83.461,29,SUCCESS
295,64.450,1328,SUCCESS
296,81.629,29,SUCCESS
297,83.854,1328,SUCCESS
298,91.462,29,SUCCESS
299,63.409,1328,SUCCESS
300,,0,LOST
301,64.691,1328,SUCCESS
302,,0,LOST
303,63.490,1328,SUCCESS
304,61.139,29,SUCCESS
305,65.700,1328,SUCCESS
306,64.827,29,SUCCESS
307,,0,LOST
308,64.154,29,SUCCESS
309,62.550,1328,SUCCESS
310,63.563,29,SUCCESS
311,62.601,1328,SUCCESS
312,63.091,29,SUCCESS
313,65.031,1328,SUCCESS
314,,0,LOST
