sequence_number,rtt_ms,bytes_received,status
205,0.102,1328,SUCCESS
206,0.088,29,SUCCESS
207,0.090,1328,SUCCESS
208,0.085,29,SUCCESS
209,0.095,1328,SUCCESS
210,0.085,29,SUCCESS
211,0.091,1328,SUCCESS
212,0.086,29,SUCCESS
213,0.092,1328,SUCCESS
214,0.098,29,SUCCESS
215,0.093,1328,SUCCESS
216,0.093,29,SUCCESS
217,0.095,1328,SUCCESS
218,0.088,29,SUCCESS
219,0.092,1328,SUCCESS
220,0.087,29,SUCCESS
221,0.097,1328,SUCCESS
222,0.088,29,SUCCESS
223,0.092,1328,SUCCESS
224,0.109,29,SUCCESS
225,0.093,1328,SUCCESS
226,0.086,29,SUCCESS
227,0.110,1328,SUCCESS
228,0.087,29,SUCCESS
229,0.093,1328,SUCCESS
230,0.088,29,SUCCESS
231,0.096,1328,SUCCESS
232,0.091,29,SUCCESS
233,0.091,1328,SUCCESS
234,0.087,29,SUCCESS
235,0.092,1328,SUCCESS
236,0.090,29,SUCCESS
237,0.093,1328,SUCCESS
238,0.089,29,SUCCESS
239,0.089,1328,SUCCESS
240,0.084,29,SUCCESS
241,0.105,1328,SUCCESS
242,0.089,29,SUCCESS
243,0.093,1328,SUCCESS
244,0.089,29,SUCCESS
245,0.093,1328,SUCCESS
246,0.089,29,SUCCESS
247,0.094,1328,SUCCESS
248,0.093,29,SUCCESS
249,0.090,1328,SUCCESS
250,0.085,29,SUCCESS
251,0.098,1328,SUCCESS
252,0.089,29,SUCCESS
253,0.096,1328,SUCCESS
254,0.088,29,SUCCESS
255,0.092,1328,SUCCESS
256,0.089,29,SUCCESS
257,0.095,1328,SUCCESS
258,0.090,29,SUCCESS
259,0.099,1328,SUCCESS
260,0.100,29,SUCCESS
261,0.100,1328,SUCCESS
262,0.088,29,SUCCESS
263,0.093,1328,SUCCESS
264,0.091,29,SUCCESS
265,0.093,1328,SUCCESS
266,0.085,29,SUCCESS
267,0.093,1328,SUCCESS
